q_str,t_str,a_str
怎么解释采购复审？,<triple id=231> 采购复审	含义	因合同文本和系统合同信息不一致，造成合同实际执行时失去控制，公司利益可能受损的风险。,<answer id=231> 因合同文本和系统合同信息不一致，造成合同实际执行时失去控制，公司利益可能受损的风险。
关联关系的含义是什么？,<triple id=235> 关联关系	含义	因钢厂与客户、仓库存在关联关系，导致欧冶资金或货权失控甚至灭失的风险。,<answer id=235> 因钢厂与客户、仓库存在关联关系，导致欧冶资金或货权失控甚至灭失的风险。
怎么解释关联关系？,<triple id=240> 关联关系	含义	因钢厂与客户、仓库存在关联关系，导致欧冶资金或货权失控甚至灭失的风险。,<answer id=240> 因钢厂与客户、仓库存在关联关系，导致欧冶资金或货权失控甚至灭失的风险。
采购审批的含义是什么？,<triple id=244> 采购审批	含义	因采购审批把控不严导致公司利益受损的风险。,<answer id=244> 因采购审批把控不严导致公司利益受损的风险。
采购审批是什么意思？,<triple id=246> 采购审批	含义	因采购审批把控不严导致公司利益受损的风险。,<answer id=246> 因采购审批把控不严导致公司利益受损的风险。
采购审批的风险等级是多少？,<triple id=251> 采购审批	风险等级	低,<answer id=251> 低
怎么理解销售合同签约？,<triple id=259> 销售合同签约	含义	销售合同文本客户签约不规范或合同正本长期不能获得，导致销售合同法律效力降低的风险。,<answer id=259> 销售合同文本客户签约不规范或合同正本长期不能获得，导致销售合同法律效力降低的风险。
销售合同文本关键用词是什么意思？,<triple id=264> 销售合同文本关键用词	含义	因销售合同文本用词不规范，导致责权不对等、法律效力不足的风险。,<answer id=264> 因销售合同文本用词不规范，导致责权不对等、法律效力不足的风险。
合同变更是什么意思？,<triple id=273> 合同变更	含义	合同变更操作不规范、变更单据不全导致合同法律效力下降或货权失控等风险。,<answer id=273> 合同变更操作不规范、变更单据不全导致合同法律效力下降或货权失控等风险。
合同变更指什么？,<triple id=275> 合同变更	含义	合同变更操作不规范、变更单据不全导致合同法律效力下降或货权失控等风险。,<answer id=275> 合同变更操作不规范、变更单据不全导致合同法律效力下降或货权失控等风险。
怎么理解合同变更？,<triple id=277> 合同变更	含义	合同变更操作不规范、变更单据不全导致合同法律效力下降或货权失控等风险。,<answer id=277> 合同变更操作不规范、变更单据不全导致合同法律效力下降或货权失控等风险。
价格及结算方式风险识别是什么等级的风险？,<triple id=288> 价格及结算方式风险识别	风险等级	中,<answer id=288> 中
挂牌价格风险的风险等级是多少？,<triple id=296> 挂牌价格风险	风险等级	中,<answer id=296> 中
印章使用是什么意思？,<triple id=300> 印章使用	含义	用印不规范导致货权或资金损失的风险。,<answer id=300> 用印不规范导致货权或资金损失的风险。
印章使用是什么等级的风险？,<triple id=306> 印章使用	风险等级	中,<answer id=306> 中
跌价风险的定义是什么？,<triple id=308> 跌价风险	含义	行情大幅波动时，客户未按合同约定补足相应货款导致客户实际弃货违约，引起公司受损的风险。,<answer id=308> 行情大幅波动时，客户未按合同约定补足相应货款导致客户实际弃货违约，引起公司受损的风险。
跌价风险指什么？,<triple id=311> 跌价风险	含义	行情大幅波动时，客户未按合同约定补足相应货款导致客户实际弃货违约，引起公司受损的风险。,<answer id=311> 行情大幅波动时，客户未按合同约定补足相应货款导致客户实际弃货违约，引起公司受损的风险。
怎么理解跌价风险？,<triple id=313> 跌价风险	含义	行情大幅波动时，客户未按合同约定补足相应货款导致客户实际弃货违约，引起公司受损的风险。,<answer id=313> 行情大幅波动时，客户未按合同约定补足相应货款导致客户实际弃货违约，引起公司受损的风险。
资金计划的风险等级是多少？,<triple id=323> 资金计划	风险等级	中,<answer id=323> 中
付款申请的发起的定义是什么？,<triple id=326> 付款申请的发起	含义	因为付款条件未达到发起采购付款或采购付款申请信息不准确导致欧冶资金损失的风险。,<answer id=326> 因为付款条件未达到发起采购付款或采购付款申请信息不准确导致欧冶资金损失的风险。
供应商授信逾期超额的定义是什么？,<triple id=344> 供应商授信逾期超额	含义	供应商授信逾期或超额导致公司资金周转效率下降甚至出现坏账、呆账的风险。,<answer id=344> 供应商授信逾期或超额导致公司资金周转效率下降甚至出现坏账、呆账的风险。
采用线下付款方式的定义是什么？,<triple id=353> 采用线下付款方式	含义	导致向供方付款延误或欧冶资金灭失的风险。,<answer id=353> 导致向供方付款延误或欧冶资金灭失的风险。
怎么理解采用线下付款方式？,<triple id=358> 采用线下付款方式	含义	导致向供方付款延误或欧冶资金灭失的风险。,<answer id=358> 导致向供方付款延误或欧冶资金灭失的风险。
审批及拨付为同一人是什么意思？,<triple id=363> 审批及拨付为同一人	含义	存在资金被挪用、贪污舞弊的风险。,<answer id=363> 存在资金被挪用、贪污舞弊的风险。
代收代付资金未取得相关证明是什么等级的风险？,<triple id=378> 代收代付资金未取得相关证明	风险等级	中,<answer id=378> 中
现款和银票混配指什么？,<triple id=383> 现款和银票混配	含义	因客户付款方式选择错误，导致公司票据收益损失的风险。,<answer id=383> 因客户付款方式选择错误，导致公司票据收益损失的风险。
票据运作代表什么？,<triple id=391> 票据运作	含义	票据运作不当造成资金收益减少的风险。,<answer id=391> 票据运作不当造成资金收益减少的风险。
票据运作的风险等级是多少？,<triple id=395> 票据运作	风险等级	中,<answer id=395> 中
票据收取的定义是什么？,<triple id=407> 票据收取	含义	票据收取不当，使票据无法承兑或无法及时转让的风险。,<answer id=407> 票据收取不当，使票据无法承兑或无法及时转让的风险。
票据收取指什么？,<triple id=410> 票据收取	含义	票据收取不当，使票据无法承兑或无法及时转让的风险。,<answer id=410> 票据收取不当，使票据无法承兑或无法及时转让的风险。
怎么理解票据收取？,<triple id=412> 票据收取	含义	票据收取不当，使票据无法承兑或无法及时转让的风险。,<answer id=412> 票据收取不当，使票据无法承兑或无法及时转让的风险。
分批付款的含义是什么？,<triple id=415> 分批付款	含义	分批付款的比例与采购合同约定不符，造成早付或晚付的风险。,<answer id=415> 分批付款的比例与采购合同约定不符，造成早付或晚付的风险。
怎么理解分批付款？,<triple id=421> 分批付款	含义	分批付款的比例与采购合同约定不符，造成早付或晚付的风险。,<answer id=421> 分批付款的比例与采购合同约定不符，造成早付或晚付的风险。
怎么解释资金释放？,<triple id=429> 资金释放	含义	定金提前释放导致无法对客户约束的风险。,<answer id=429> 定金提前释放导致无法对客户约束的风险。
资金释放的风险等级是多少？,<triple id=431> 资金释放	风险等级	中,<answer id=431> 中
两金管理是什么意思？,<triple id=435> 两金管理	含义	因为两金过高导致公司资金周转压力大，资产运行质量下降，不良率上升的风险。,<answer id=435> 因为两金过高导致公司资金周转压力大，资产运行质量下降，不良率上升的风险。
两金管理的风险等级是多少？,<triple id=440> 两金管理	风险等级	中,<answer id=440> 中
钢厂跟单是什么意思？,<triple id=444> 钢厂跟单	含义	钢厂提供出厂信息存在虚假信息、信息不全或滞后，跟单人员在跟单过程中信息有遗漏，导致货权失控的风险。,<answer id=444> 钢厂提供出厂信息存在虚假信息、信息不全或滞后，跟单人员在跟单过程中信息有遗漏，导致货权失控的风险。
怎么理解钢厂跟单？,<triple id=448> 钢厂跟单	含义	钢厂提供出厂信息存在虚假信息、信息不全或滞后，跟单人员在跟单过程中信息有遗漏，导致货权失控的风险。,<answer id=448> 钢厂提供出厂信息存在虚假信息、信息不全或滞后，跟单人员在跟单过程中信息有遗漏，导致货权失控的风险。
怎么解释钢厂超发或欠发？,<triple id=456> 钢厂超发或欠发	含义	1.因钢厂严重超发客户不接受，导致公司需另外寻源销售的营销风险；2.因钢厂严重欠发，导致客户向欧冶索要违约金、欧冶资金被钢厂大量占用，欧冶利益受损的风险。,<answer id=456> 1.因钢厂严重超发客户不接受，导致公司需另外寻源销售的营销风险；2.因钢厂严重欠发，导致客户向欧冶索要违约金、欧冶资金被钢厂大量占用，欧冶利益受损的风险。
发货指令传递是什么意思？,<triple id=462> 发货指令传递	含义	由于钢厂或客户擅自变更交货地、钢厂违约直发、客户或营销员私自出函通知钢厂或承运商直发货物并变更交货地，造成欧冶货权失控的风险。,<answer id=462> 由于钢厂或客户擅自变更交货地、钢厂违约直发、客户或营销员私自出函通知钢厂或承运商直发货物并变更交货地，造成欧冶货权失控的风险。
发货指令传递指什么？,<triple id=464> 发货指令传递	含义	由于钢厂或客户擅自变更交货地、钢厂违约直发、客户或营销员私自出函通知钢厂或承运商直发货物并变更交货地，造成欧冶货权失控的风险。,<answer id=464> 由于钢厂或客户擅自变更交货地、钢厂违约直发、客户或营销员私自出函通知钢厂或承运商直发货物并变更交货地，造成欧冶货权失控的风险。
发货指令传递的风险等级是多少？,<triple id=467> 发货指令传递	风险等级	高,<answer id=467> 高
钢厂延期交货代表什么？,<triple id=472> 钢厂延期交货	含义	钢厂延期交货导致授信逾期的风险。,<answer id=472> 钢厂延期交货导致授信逾期的风险。
钢厂延期交货是什么等级的风险？,<triple id=477> 钢厂延期交货	风险等级	中,<answer id=477> 中
运输环节的风险等级是多少？,<triple id=485> 运输环节	风险等级	高,<answer id=485> 高
货物入库是什么意思？,<triple id=489> 货物入库	含义	1.由于仓库原因导致不能及时正常完成货物收发存（含仓库爆仓）；或仓库提前入库或未正确入库，造成货物和财产损失的风险；2.在途入库，货物未到制定仓库，授信提前释放，存在货权失控或实物与货单不符的风险。,<answer id=489> 1.由于仓库原因导致不能及时正常完成货物收发存（含仓库爆仓）；或仓库提前入库或未正确入库，造成货物和财产损失的风险；2.在途入库，货物未到制定仓库，授信提前释放，存在货权失控或实物与货单不符的风险。
实物管理的含义是什么？,<triple id=496> 实物管理	含义	1.货物长期堆放造成锈蚀、变形等质量异议无法销售的风险；2.货物到货后单据没有欧冶货权标注，导致实物货主信息不明确的风险；3.货物堆放混乱且无安全通道，导致盘库困难难以确权的风险。,<answer id=496> 1.货物长期堆放造成锈蚀、变形等质量异议无法销售的风险；2.货物到货后单据没有欧冶货权标注，导致实物货主信息不明确的风险；3.货物堆放混乱且无安全通道，导致盘库困难难以确权的风险。
实物管理的风险等级是多少？,<triple id=503> 实物管理	风险等级	中,<answer id=503> 中
仓库监管的定义是什么？,<triple id=506> 仓库监管	含义	1.营销人员擅自发出出入库和运输指令，造成控货风险；2.仓库发生异常，欧冶物流监管不力未及时发现的风险；3.仓库配合度差，欧冶物流没有货物实际控制能力的风险。,<answer id=506> 1.营销人员擅自发出出入库和运输指令，造成控货风险；2.仓库发生异常，欧冶物流监管不力未及时发现的风险；3.仓库配合度差，欧冶物流没有货物实际控制能力的风险。
仓库监管的风险等级是多少？,<triple id=512> 仓库监管	风险等级	高,<answer id=512> 高
应急处置的定义是什么？,<triple id=515> 应急处置	含义	应急处置不及时或处置不当导致损失扩大的风险。,<answer id=515> 应急处置不及时或处置不当导致损失扩大的风险。
货物出库的含义是什么？,<triple id=523> 货物出库	含义	客户伪造提单直接提货、在无法确认货权的情况下进行转库、过磅超发或未按提单量发货，存在货物控货的风险。,<answer id=523> 客户伪造提单直接提货、在无法确认货权的情况下进行转库、过磅超发或未按提单量发货，存在货物控货的风险。
货物出库指什么？,<triple id=527> 货物出库	含义	客户伪造提单直接提货、在无法确认货权的情况下进行转库、过磅超发或未按提单量发货，存在货物控货的风险。,<answer id=527> 客户伪造提单直接提货、在无法确认货权的情况下进行转库、过磅超发或未按提单量发货，存在货物控货的风险。
货物出库是什么等级的风险？,<triple id=531> 货物出库	风险等级	中,<answer id=531> 中
库存超期是什么意思？,<triple id=534> 库存超期	含义	仓库出现出入库数据异常，存在欺诈和确权的风险。,<answer id=534> 仓库出现出入库数据异常，存在欺诈和确权的风险。
怎么解释库存超期？,<triple id=537> 库存超期	含义	仓库出现出入库数据异常，存在欺诈和确权的风险。,<answer id=537> 仓库出现出入库数据异常，存在欺诈和确权的风险。
采购发票指什么？,<triple id=554> 采购发票	含义	因采购发票录入前未按照供方结算政策进行核对，易造成结算配单错误的风险。因为采购发票抵扣及提交不及时，造成公司税务损失的风险。,<answer id=554> 因采购发票录入前未按照供方结算政策进行核对，易造成结算配单错误的风险。因为采购发票抵扣及提交不及时，造成公司税务损失的风险。
增值税进销项管理的含义是什么？,<triple id=559> 增值税进销项管理	含义	增值税进销项管理不当导致公司利益受损的风险。,<answer id=559> 增值税进销项管理不当导致公司利益受损的风险。
怎么解释增值税进销项管理？,<triple id=564> 增值税进销项管理	含义	增值税进销项管理不当导致公司利益受损的风险。,<answer id=564> 增值税进销项管理不当导致公司利益受损的风险。
增值税进销项管理是什么等级的风险？,<triple id=567> 增值税进销项管理	风险等级	低,<answer id=567> 低
怎么理解采购结算？,<triple id=574> 采购结算	含义	1.因供应商开票或采购结算不及时，导致欧冶进项税不足、货物安全被威胁不能被及时发现的风险。,<answer id=574> 1.因供应商开票或采购结算不及时，导致欧冶进项税不足、货物安全被威胁不能被及时发现的风险。
采购结算是什么等级的风险？,<triple id=576> 采购结算	风险等级	中,<answer id=576> 中
采购价差核对的定义是什么？,<triple id=578> 采购价差核对	含义	因采购价差出错导致销售结算价格错误、客户满意度下降及公司利润受损的风险。,<answer id=578> 因采购价差出错导致销售结算价格错误、客户满意度下降及公司利润受损的风险。
客户折扣生成是什么意思？,<triple id=588> 客户折扣生成	含义	客户折扣延迟生成、重复生成、错误生成，返利返差折扣分配错误导致影响客户体验或公司利益受损的风险。,<answer id=588> 客户折扣延迟生成、重复生成、错误生成，返利返差折扣分配错误导致影响客户体验或公司利益受损的风险。
怎么解释客户折扣生成？,<triple id=591> 客户折扣生成	含义	客户折扣延迟生成、重复生成、错误生成，返利返差折扣分配错误导致影响客户体验或公司利益受损的风险。,<answer id=591> 客户折扣延迟生成、重复生成、错误生成，返利返差折扣分配错误导致影响客户体验或公司利益受损的风险。
销售发票结算的定义是什么？,<triple id=596> 销售发票结算	含义	1.销售超期未结算，导致客户满意度下降，业务量缩减甚至客户流失的风险。2.销售合同正折扣未生效，直接向客户开票，如客户无业务合作，将造成客户拒绝继续补款、客户拒绝接受无重量发票及公司利润受损的风险。,<answer id=596> 1.销售超期未结算，导致客户满意度下降，业务量缩减甚至客户流失的风险。2.销售合同正折扣未生效，直接向客户开票，如客户无业务合作，将造成客户拒绝继续补款、客户拒绝接受无重量发票及公司利润受损的风险。
质量异议的定义是什么？,<triple id=605> 质量异议	含义	1.因质量异议处理人员与供方或客户沆瀣一气，导致质量理赔不公平、交易对方或公司利益受损的风险。2.统购分销业务因供方赔付金额低于公司赔付客户金额或供方超期不予赔付，造成公司利益受损的风险。,<answer id=605> 1.因质量异议处理人员与供方或客户沆瀣一气，导致质量理赔不公平、交易对方或公司利益受损的风险。2.统购分销业务因供方赔付金额低于公司赔付客户金额或供方超期不予赔付，造成公司利益受损的风险。
质量异议指什么？,<triple id=608> 质量异议	含义	1.因质量异议处理人员与供方或客户沆瀣一气，导致质量理赔不公平、交易对方或公司利益受损的风险。2.统购分销业务因供方赔付金额低于公司赔付客户金额或供方超期不予赔付，造成公司利益受损的风险。,<answer id=608> 1.因质量异议处理人员与供方或客户沆瀣一气，导致质量理赔不公平、交易对方或公司利益受损的风险。2.统购分销业务因供方赔付金额低于公司赔付客户金额或供方超期不予赔付，造成公司利益受损的风险。
怎么理解质量异议？,<triple id=610> 质量异议	含义	1.因质量异议处理人员与供方或客户沆瀣一气，导致质量理赔不公平、交易对方或公司利益受损的风险。2.统购分销业务因供方赔付金额低于公司赔付客户金额或供方超期不予赔付，造成公司利益受损的风险。,<answer id=610> 1.因质量异议处理人员与供方或客户沆瀣一气，导致质量理赔不公平、交易对方或公司利益受损的风险。2.统购分销业务因供方赔付金额低于公司赔付客户金额或供方超期不予赔付，造成公司利益受损的风险。
怎么理解毛利核算？,<triple id=619> 毛利核算	含义	毛利异常未及时发现导致公司利益受损的风险。,<answer id=619> 毛利异常未及时发现导致公司利益受损的风险。
定期对账的定义是什么？,<triple id=623> 定期对账	含义	未定期对账，导致账目混乱、出现呆账、坏账的风险。,<answer id=623> 未定期对账，导致账目混乱、出现呆账、坏账的风险。
定期对账指什么？,<triple id=626> 定期对账	含义	未定期对账，导致账目混乱、出现呆账、坏账的风险。,<answer id=626> 未定期对账，导致账目混乱、出现呆账、坏账的风险。
钢厂余款处理的含义是什么？,<triple id=631> 钢厂余款处理	含义	钢厂退款周期过长，造成资金长期被占用的风险。跨区域在开展统购分销业务时，余款未在释放后即刻转订货使用，造成资金沉淀风险。,<answer id=631> 钢厂退款周期过长，造成资金长期被占用的风险。跨区域在开展统购分销业务时，余款未在释放后即刻转订货使用，造成资金沉淀风险。
钢厂余款处理指什么？,<triple id=635> 钢厂余款处理	含义	钢厂退款周期过长，造成资金长期被占用的风险。跨区域在开展统购分销业务时，余款未在释放后即刻转订货使用，造成资金沉淀风险。,<answer id=635> 钢厂退款周期过长，造成资金长期被占用的风险。跨区域在开展统购分销业务时，余款未在释放后即刻转订货使用，造成资金沉淀风险。
钢厂余款处理是什么等级的风险？,<triple id=639> 钢厂余款处理	风险等级	低,<answer id=639> 低
客户退款指什么？,<triple id=644> 客户退款	含义	后结算业务存在钢厂余款未退回我司账户，但我司已对客户退款的风险。,<answer id=644> 后结算业务存在钢厂余款未退回我司账户，但我司已对客户退款的风险。
合同结案的含义是什么？,<triple id=649> 合同结案	含义	合同提前结案导致客户资金提前被释放的风险。,<answer id=649> 合同提前结案导致客户资金提前被释放的风险。
合同结案指什么？,<triple id=653> 合同结案	含义	合同提前结案导致客户资金提前被释放的风险。,<answer id=653> 合同提前结案导致客户资金提前被释放的风险。
合同结案的风险等级是多少？,<triple id=656> 合同结案	风险等级	低,<answer id=656> 低
怎么理解业务归档？,<triple id=664> 业务归档	含义	1.归档合同与系统合同不一致、归档合同不完整、合同未签字导致与供方或客户发生合同纠纷时，公司无法拿出有效的法律凭证；2.重要线下业务单据未归档，导致超授权开展业务无相关审批依据的风险。,<answer id=664> 1.归档合同与系统合同不一致、归档合同不完整、合同未签字导致与供方或客户发生合同纠纷时，公司无法拿出有效的法律凭证；2.重要线下业务单据未归档，导致超授权开展业务无相关审批依据的风险。
长龄库存的含义是什么？,<triple id=667> 长龄库存	含义	有去向业务中客户超过“最后付款日2”30个自然日仍然未支付货款的情况应启动应急处置流程；无去向业务从系统入库起算库龄超过90天的情况应启动应急处置流程。,<answer id=667> 有去向业务中客户超过“最后付款日2”30个自然日仍然未支付货款的情况应启动应急处置流程；无去向业务从系统入库起算库龄超过90天的情况应启动应急处置流程。
